,precision,recall,f1-score,support
course,0.8243243243243243,0.9289340101522843,0.8735083532219571,197.0
faculty,0.9040404040404041,0.8287037037037037,0.8647342995169083,216.0
project,0.8469387755102041,0.4322916666666667,0.5724137931034483,192.0
student,0.7376681614349776,0.9164345403899722,0.8173913043478263,359.0
accuracy,0.8029045643153527,0.8029045643153527,0.8029045643153527,0.8029045643153527
macro avg,0.8282429163274776,0.7765909802281566,0.782011937547535,964.0
weighted avg,0.8144188112217171,0.8029045643153527,0.7906749801007359,964.0
